"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A4988,A4988_1","2","~","","","","mioss:POLOLU_SMD",""
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"J2","1","Conn_01x04_Pin","","","","mioss:dc-dc up","~"
"J3","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","FAN","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~"
"K1","1","SSQ-120-04-T-D","","","","Module:Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles",""
"LAMP1","1","IRF540N","","","","Package_TO_SOT_SMD:TO-263-2","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
"MOT1-2,MOT2","2","1984633","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"Q1","1","Q_NPN_EBC","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R1","1","4.7k","","","","Diode_SMD:D_1206_3216Metric","~"
"R7","1","10k","","","","Diode_SMD:D_1206_3216Metric","~"
"R12","1","100","","","","Diode_SMD:D_1206_3216Metric","~"
